Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第28節,大宮アルディージャ,ジェフユナイテッド千葉,2,1,0,0,2019.8.18 19:00 Kick Off,曇,全面良芝,"10,169人",29.4℃,46.1%,69.6%,55.0%,68.8%,58.5%,55.5%,17.29,15.09,1.58,0.63,3.76,2.64,45.93,12.96,0.68,1,10,(10.0%),2,0,591,(84.9%),16,(18.8%),6,1,2,20,(95.0%),5,(60.0%),15,(66.7%),30,2,0,3,0,41,8,92,10.9%,58.9%
第29節,ジェフユナイテッド千葉,ヴァンフォーレ甲府,0,3,1,0,2019.8.24 18:00 Kick Off,晴,全面良芝,"9,489人",27.1℃,54.6%,51.9%,36.5%,61.0%,55.8%,59.4%,18.42,14.32,1.99,2.11,5.88,0.00,75.14,19.15,0.00,0.906,9,(0.0%),2,0,491,(81.9%),22,(18.2%),6,1,5,14,(92.9%),12,(66.7%),21,(61.9%),34,0,2,0,0,40,15,104,8.7%,53.2%
第30節,ＦＣ町田ゼルビア,ジェフユナイテッド千葉,1,1,0,1,2019.9.1 18:00 Kick Off,曇のち雨のち晴,全面良芝,"4,052人",27.1℃,43.4%,59.1%,54.2%,51.9%,52.9%,44.3%,12.62,10.00,1.60,1.01,5.25,2.64,67.42,24.17,0.90,1.032,8,(12.5%),3,0,338,(62.4%),18,(16.7%),16,2,4,25,(76.0%),5,(60.0%),21,(33.3%),51,2,3,4,0,33,14,133,6.0%,50.5%
第31節,アルビレックス新潟,ジェフユナイテッド千葉,2,1,0,0,2019.9.7 19:00 Kick Off,晴,全面良芝,"14,232人",29.5℃,57.5%,54.3%,53.8%,60.0%,74.1%,65.6%,20.26,16.85,2.08,1.32,6.70,2.61,95.73,10.73,0.16,1.675,15,(6.7%),2,0,606,(81.0%),23,(17.4%),8,3,7,18,(94.4%),15,(40.0%),16,(75.0%),10,1,4,1,0,60,14,119,12.6%,60.5%
第32節,ジェフユナイテッド千葉,水戸ホーリーホック,2,1,1,3,2019.9.14 18:00 Kick Off,晴,全面良芝,"7,857人",24.8℃,46.3%,58.7%,51.3%,56.6%,49.2%,35.2%,15.62,10.91,4.04,0.67,9.28,6.23,71.68,21.35,0.26,2.346,19,(10.5%),4,1,448,(74.1%),13,(69.2%),11,3,4,18,(66.7%),7,(57.1%),22,(54.5%),32,3,2,2,0,31,14,122,15.6%,48.8%
第33節,ジェフユナイテッド千葉,徳島ヴォルティス,1,1,1,1,2019.9.22 15:00 Kick Off,曇,全面良芝,"8,630人",25.5℃,41.4%,45.9%,31.0%,39.7%,49.6%,37.2%,17.68,12.80,3.64,1.23,12.44,0.31,68.69,12.18,0.15,4.16,25,(4.0%),6,1,347,(72.0%),22,(31.8%),11,2,12,22,(77.3%),15,(46.7%),18,(77.8%),15,3,0,3,0,31,20,114,21.9%,40.4%
第34節,ファジアーノ岡山,ジェフユナイテッド千葉,0,0,0,1,2019.9.29 18:00 Kick Off,曇,全面良芝,"9,327人",27.9℃,52.6%,62.3%,52.6%,47.9%,55.4%,44.8%,13.00,10.06,1.45,1.49,5.90,0.00,40.24,13.74,0.25,1.009,9,(0.0%),5,0,454,(76.9%),13,(23.1%),17,4,1,26,(92.3%),10,(60.0%),12,(58.3%),22,1,0,3,0,32,9,115,7.8%,52.9%
第35節,ジェフユナイテッド千葉,モンテディオ山形,1,4,1,0,2019.10.6 15:00 Kick Off,晴,全面良芝,"9,852人",20.9℃,63.8%,49.7%,52.0%,66.0%,73.4%,55.5%,15.94,10.97,4.02,0.95,5.03,3.01,49.32,10.10,0.84,1.026,10,(10.0%),3,0,442,(76.5%),24,(33.3%),13,5,2,25,(88.0%),10,(60.0%),14,(71.4%),24,1,0,2,0,36,13,102,9.8%,59.6%
第36節,Ｖ・ファーレン長崎,ジェフユナイテッド千葉,0,2,0,3,2019.10.12 18:00 Kick Off,晴,全面良芝,"7,385人",22.3℃,51.0%,38.0%,51.7%,51.0%,53.0%,53.1%,18.71,15.41,2.57,0.73,9.75,3.95,114.77,14.85,0.53,2.287,14,(14.3%),5,0,489,(80.0%),15,(33.3%),9,2,4,14,(92.9%),8,(37.5%),23,(78.3%),24,5,4,0,0,45,17,116,12.1%,49.5%
第37節,ジェフユナイテッド千葉,柏レイソル,0,3,1,0,2019.10.20 15:00 Kick Off,曇のち晴,全面良芝,"14,950人",22.8℃,46.3%,47.0%,58.2%,49.3%,57.7%,28.2%,11.71,10.81,0.39,0.51,3.41,0.00,68.01,9.61,0.65,0.545,6,(0.0%),1,0,440,(76.1%),9,(11.1%),12,2,3,16,(87.5%),8,(37.5%),18,(50.0%),15,2,1,0,0,31,7,102,5.9%,46.2%
