Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第29節,ヴァンフォーレ甲府,ＦＣ町田ゼルビア,2,1,0,0,2020.10.25 14:00 Kick Off,晴,全面良芝,"3,865人",22.7℃,34.1%,42.0%,49.6%,45.1%,27.7%,56.9%,13.67,12.13,1.13,0.42,2.31,0.00,77.02,11.81,0.50,0.442,7,(0.0%),1,0,499,(80.0%),10,(20.0%),10,2,2,27,(88.9%),7,(57.1%),14,(100.0%),20,0,3,1,0,30,11,113,6.2%,43.3%
第30節,ＦＣ町田ゼルビア,愛媛ＦＣ,1,2,1,0,2020.11.1 16:00 Kick Off,曇,全面良芝,"1,214人",16.8℃,49.2%,37.3%,28.7%,52.9%,32.1%,57.8%,20.09,15.20,3.12,1.77,14.10,2.61,65.91,14.28,1.06,1.963,20,(5.0%),9,0,407,(74.0%),15,(40.0%),12,0,6,31,(77.4%),12,(58.3%),12,(66.7%),15,2,2,1,0,48,16,118,16.9%,43.8%
第31節,Ｖ・ファーレン長崎,ＦＣ町田ゼルビア,3,1,0,0,2020.11.4 19:00 Kick Off,晴,全面良芝,"2,902人",10.5℃,49.2%,37.6%,32.8%,43.8%,49.3%,54.7%,17.44,14.81,1.68,0.94,10.58,4.25,118.53,14.25,0.53,0.783,17,(5.9%),4,0,477,(80.9%),8,(37.5%),7,2,2,17,(94.1%),7,(57.1%),23,(69.6%),22,0,2,1,0,45,14,114,14.9%,45%
第32節,ファジアーノ岡山,ＦＣ町田ゼルビア,1,0,0,0,2020.11.8 14:00 Kick Off,晴,全面良芝,"3,463人",22.5℃,46.9%,55.0%,37.8%,43.3%,52.3%,44.8%,12.68,11.70,0.55,0.43,4.70,0.00,95.78,16.66,0.31,1.013,11,(0.0%),3,0,375,(68.0%),5,(20.0%),18,1,1,27,(70.4%),3,(33.3%),16,(68.8%),34,3,2,1,0,27,8,141,7.8%,45.9%
第33節,ＦＣ町田ゼルビア,レノファ山口ＦＣ,1,0,1,3,2020.11.11 19:00 Kick Off,晴,全面良芝,720人,10.7℃,43.3%,41.3%,34.0%,49.6%,31.3%,38.4%,10.99,9.02,1.20,0.77,4.59,3.30,85.80,16.04,0.13,1.061,11,(9.1%),2,0,323,(68.4%),10,(20.0%),11,3,3,27,(81.5%),8,(37.5%),19,(89.5%),26,1,2,1,0,26,9,121,9.1%,39.3%
第34節,ＦＣ町田ゼルビア,松本山雅ＦＣ,1,2,1,0,2020.11.15 14:00 Kick Off,晴,全面良芝,"2,061人",17.6℃,61.0%,56.9%,45.1%,51.2%,48.2%,65.0%,17.97,15.58,1.64,0.75,8.40,3.36,103.95,11.01,1.71,0.803,10,(10.0%),4,0,559,(76.9%),11,(27.3%),10,2,4,23,(82.6%),9,(44.4%),26,(73.1%),16,3,6,1,0,49,10,130,7.7%,54.8%
第35節,大宮アルディージャ,ＦＣ町田ゼルビア,0,0,0,1,2020.11.21 14:00 Kick Off,晴,良芝,"3,316人",17.5℃,36.7%,43.2%,36.6%,21.7%,48.5%,40.6%,10.14,8.01,1.66,0.47,3.31,0.00,87.32,16.04,0.09,0.892,12,(0.0%),1,0,313,(64.5%),9,(33.3%),12,0,4,17,(70.6%),3,(33.3%),15,(53.3%),21,1,0,0,0,20,7,107,11.2%,37.7%
第36節,徳島ヴォルティス,ＦＣ町田ゼルビア,3,0,0,0,2020.11.25 19:00 Kick Off,曇,全面良芝,"2,349人",12.7℃,22.8%,25.4%,21.8%,20.8%,20.6%,24.8%,3.87,3.52,0.00,0.34,4.47,0.00,75.64,12.99,0.19,0.233,7,(0.0%),2,0,206,(66.5%),4,(0.0%),8,0,1,16,(68.8%),5,(20.0%),13,(69.2%),30,4,0,3,1,11,3,90,7.8%,22.8%
第37節,ＦＣ町田ゼルビア,ザスパクサツ群馬,0,3,1,0,2020.11.29 16:00 Kick Off,曇,全面良芝,"1,116人",11℃,54.8%,37.6%,64.6%,57.0%,53.0%,65.4%,18.54,17.13,1.07,0.34,2.30,0.00,74.06,11.48,0.35,1.022,12,(0.0%),1,0,552,(77.5%),12,(16.7%),10,2,4,34,(91.2%),5,(60.0%),11,(45.5%),18,0,2,0,0,58,12,126,9.5%,56.1%
第38節,モンテディオ山形,ＦＣ町田ゼルビア,3,2,0,0,2020.12.2 19:00 Kick Off,晴,全面良芝,"2,311人",6℃,42.5%,36.5%,31.8%,50.9%,58.2%,32.5%,13.15,11.67,1.13,0.34,7.27,6.40,148.84,11.56,0.15,1.613,17,(11.8%),4,0,356,(68.5%),12,(16.7%),15,0,2,30,(80.0%),6,(50.0%),26,(73.1%),13,1,3,1,0,36,14,145,11.7%,40.9%
第39節,ＦＣ町田ゼルビア,東京ヴェルディ,1,0,1,3,2020.12.6 14:00 Kick Off,晴,全面良芝,"1,960人",12.8℃,26.8%,47.2%,38.7%,26.5%,42.6%,29.2%,13.12,10.26,1.05,1.81,8.43,0.31,93.91,11.91,0.00,2.186,16,(6.3%),3,1,307,(75.9%),6,(33.3%),7,4,7,20,(80.0%),18,(38.9%),21,(61.9%),12,1,2,2,0,28,10,104,15.4%,34.9%
第40節,ＦＣ町田ゼルビア,水戸ホーリーホック,1,0,1,3,2020.12.13 14:00 Kick Off,晴,全面良芝,"2,038人",14.6℃,54.7%,53.1%,41.1%,38.0%,27.6%,36.2%,12.56,10.56,2.00,0.00,4.57,3.17,109.57,16.85,0.20,0.633,9,(11.1%),1,0,379,(71.8%),11,(36.4%),14,1,3,12,(91.7%),3,(0.0%),28,(75.0%),16,2,3,0,0,30,11,117,7.7%,41.7%
第41節,ジュビロ磐田,ＦＣ町田ゼルビア,3,2,0,0,2020.12.16 19:00 Kick Off,晴,全面良芝,"2,619人",4.7℃,33.8%,21.6%,37.6%,29.8%,39.7%,37.4%,11.33,10.17,1.16,0.00,3.13,4.59,125.29,21.49,0.80,1.768,8,(25.0%),2,0,329,(69.9%),10,(20.0%),6,1,2,10,(70.0%),1,(0.0%),22,(77.3%),37,0,1,1,0,39,10,108,7.4%,33.7%
第42節,ＦＣ琉球,ＦＣ町田ゼルビア,0,1,0,3,2020.12.20 14:00 Kick Off,曇のち晴,全面良芝,"2,546人",18.7℃,42.0%,27.7%,27.1%,45.7%,28.8%,43.8%,7.24,7.00,0.00,0.25,5.94,4.25,110.28,20.35,0.00,0.505,8,(12.5%),3,0,297,(64.0%),3,(0.0%),10,0,1,16,(50.0%),3,(33.3%),17,(70.6%),33,2,1,2,0,19,5,128,6.3%,35.6%
