Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第41節,レノファ山口ＦＣ,アルビレックス新潟,1,0,0,0,2020.12.16 19:00 Kick Off,曇一時雪,全面良芝,"1,040人",2.9℃,42.6%,45.6%,62.1%,46.3%,47.1%,64.1%,12.81,10.30,2.07,0.44,0.00,0.00,103.87,13.47,0.59,1.065,7,(0.0%),0,0,496,(75.6%),11,(36.4%),16,1,3,18,(72.2%),10,(40.0%),21,(71.4%),28,2,3,2,0,21,6,123,5.7%,52.5%
第42節,大宮アルディージャ,アルビレックス新潟,3,1,0,0,2020.12.20 14:00 Kick Off,晴,全面良芝,"4,549人",7.3℃,70.4%,57.3%,52.4%,62.1%,68.2%,53.3%,21.52,17.25,2.62,1.65,8.89,1.23,86.14,12.29,0.66,1.545,15,(6.7%),3,0,683,(85.5%),10,(50.0%),9,1,1,20,(100.0%),12,(50.0%),19,(52.6%),14,1,3,1,0,42,14,122,12.3%,60.6%
第1節,ギラヴァンツ北九州,アルビレックス新潟,1,4,0,3,2021.2.27 14:00 Kick Off,曇,全面良芝,"3,447人",10.4℃,51.3%,54.1%,45.7%,63.1%,46.5%,41.8%,19.14,13.98,3.33,1.83,11.45,5.19,121.03,11.76,0.35,2.562,17,(17.6%),7,0,473,(79.1%),17,(35.3%),6,3,6,24,(70.8%),15,(40.0%),22,(59.1%),14,4,3,1,0,38,20,123,13.8%,49.8%
第2節,アルビレックス新潟,Ｖ・ファーレン長崎,1,0,1,3,2021.3.6 13:30 Kick Off,曇,全面良芝,"9,442人",7.4℃,58.1%,53.9%,59.2%,48.3%,35.2%,26.7%,11.47,9.24,1.11,1.12,7.88,4.28,61.97,19.88,0.35,0.546,10,(10.0%),3,0,420,(83.8%),4,(50.0%),20,2,3,15,(86.7%),6,(50.0%),20,(75.0%),39,2,0,2,1,18,6,105,9.5%,46.9%
第3節,レノファ山口ＦＣ,アルビレックス新潟,1,2,0,3,2021.3.13 14:00 Kick Off,曇時々晴,全面良芝,"3,045人",13.5℃,64.2%,67.4%,70.9%,35.5%,49.6%,52.6%,15.93,13.98,1.78,0.16,2.64,5.81,89.97,12.98,0.15,0.682,7,(28.6%),2,0,687,(87.0%),10,(30.0%),12,2,0,21,(81.0%),10,(20.0%),19,(73.7%),18,2,4,2,0,40,8,113,6.2%,57.6%
第4節,アルビレックス新潟,ザスパクサツ群馬,3,1,1,3,2021.3.20 14:00 Kick Off,晴のち曇,全面良芝,"9,329人",13.6℃,70.5%,63.5%,58.2%,69.3%,64.9%,55.4%,19.42,14.74,3.31,1.37,5.39,5.19,66.24,12.68,0.00,1.374,9,(33.3%),4,0,632,(86.7%),15,(40.0%),17,2,2,31,(80.6%),16,(37.5%),23,(87.0%),17,0,1,0,0,32,16,117,7.7%,62.7%
第5節,アルビレックス新潟,東京ヴェルディ,7,0,1,3,2021.3.27 14:00 Kick Off,曇,全面良芝,"10,968人",13.2℃,59.7%,42.2%,48.9%,55.0%,48.6%,46.8%,20.63,17.32,2.22,1.08,20.18,22.24,117.14,9.41,0.17,2.68,20,(35.0%),11,1,544,(85.5%),14,(28.6%),9,6,10,15,(93.3%),5,(60.0%),16,(62.5%),8,5,1,1,0,49,20,116,17.2%,50.3%
第6節,ＳＣ相模原,アルビレックス新潟,2,2,0,1,2021.4.4 13:00 Kick Off,曇,全面良芝,"3,420人",20.4℃,74.0%,63.5%,67.1%,73.6%,71.4%,68.0%,27.12,20.28,5.07,1.77,6.54,5.31,65.99,11.37,0.13,1.454,13,(15.4%),4,0,732,(85.5%),23,(39.1%),12,3,7,21,(95.2%),12,(58.3%),20,(80.0%),23,0,0,0,0,57,17,117,11.1%,69.5%
第7節,モンテディオ山形,アルビレックス新潟,0,2,0,3,2021.4.11 14:00 Kick Off,晴,良芝,"5,289人",16.7℃,60.6%,56.7%,56.4%,56.6%,59.7%,53.9%,17.37,13.48,2.23,1.67,2.75,2.92,114.28,19.22,0.00,0.766,6,(16.7%),1,0,513,(78.0%),15,(26.7%),21,3,3,18,(88.9%),19,(47.4%),34,(61.8%),28,0,4,0,0,35,15,136,4.4%,57.1%
第8節,アルビレックス新潟,ツエーゲン金沢,1,0,1,3,2021.4.17 14:00 Kick Off,雨,全面良芝,"10,148人",14.7℃,74.8%,81.6%,68.4%,76.2%,66.7%,60.3%,24.07,21.45,1.08,1.54,4.98,3.35,93.22,13.42,0.17,1.867,15,(6.7%),4,0,801,(87.8%),13,(15.4%),17,3,5,20,(95.0%),15,(26.7%),22,(81.8%),12,3,1,1,0,49,12,130,11.5%,71.7%
第9節,栃木ＳＣ,アルビレックス新潟,2,2,0,1,2021.4.21 19:00 Kick Off,晴,全面良芝,"2,951人",15.2℃,68.8%,71.6%,76.6%,74.3%,69.8%,78.9%,18.77,16.30,1.59,0.88,8.18,3.85,76.69,17.92,0.41,1.603,13,(15.4%),4,0,716,(84.9%),12,(25.0%),10,3,2,30,(86.7%),5,(80.0%),16,(68.8%),20,0,0,0,0,43,12,121,10.7%,74%
