Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第36節,ファジアーノ岡山,栃木ＳＣ,2,3,1,0,2020.11.25 19:00 Kick Off,晴,全面良芝,"1,909人",11.3℃,54.8%,66.4%,56.1%,55.8%,48.7%,62.1%,14.25,12.02,1.06,1.17,1.86,5.39,79.32,16.87,0.38,0.779,11,(18.2%),2,0,470,(68.1%),17,(11.8%),14,2,6,35,(82.9%),18,(27.8%),15,(60.0%),16,1,2,0,0,37,8,143,7.7%,57.7%
第37節,ギラヴァンツ北九州,ファジアーノ岡山,1,1,0,1,2020.11.28 15:00 Kick Off,曇,全面良芝,"3,525人",12.3℃,33.2%,42.3%,43.9%,40.2%,46.4%,43.5%,16.10,11.34,3.09,1.67,6.00,3.44,124.63,16.52,0.11,1.965,16,(6.3%),4,0,403,(72.2%),20,(30.0%),3,0,6,32,(75.0%),20,(25.0%),17,(70.6%),20,3,5,0,0,30,13,137,11.7%,41.6%
第38節,ファジアーノ岡山,アビスパ福岡,1,1,1,1,2020.12.2 19:30 Kick Off,曇,全面良芝,"1,181人",10℃,62.3%,48.1%,48.7%,55.0%,49.7%,51.8%,11.90,9.96,1.58,0.36,8.29,2.65,77.98,17.42,0.26,1.219,13,(7.7%),5,0,370,(72.2%),10,(30.0%),10,2,5,31,(74.2%),9,(22.2%),24,(54.2%),30,1,1,1,0,30,5,133,9.8%,53.5%
第39節,ＦＣ琉球,ファジアーノ岡山,1,1,0,1,2020.12.6 13:00 Kick Off,曇,全面良芝,"1,609人",22.1℃,36.7%,33.7%,46.8%,40.3%,66.7%,47.1%,12.69,11.31,1.15,0.23,2.54,0.31,101.77,11.07,0.09,1.245,8,(12.5%),2,1,455,(79.8%),10,(20.0%),6,1,3,20,(80.0%),5,(40.0%),19,(52.6%),15,0,1,1,0,28,6,112,7.1%,44.8%
第40節,モンテディオ山形,ファジアーノ岡山,2,0,0,0,2020.12.13 14:00 Kick Off,曇時々雨,全面良芝,"4,561人",4.4℃,38.4%,43.2%,55.7%,54.7%,49.0%,51.0%,13.41,11.68,1.50,0.23,1.10,0.00,105.23,17.64,1.63,0.143,4,(0.0%),1,0,524,(76.3%),14,(21.4%),7,2,1,30,(83.3%),7,(28.6%),24,(66.7%),26,1,1,2,0,39,6,129,3.1%,49.6%
第41節,ザスパクサツ群馬,ファジアーノ岡山,2,0,0,0,2020.12.16 19:00 Kick Off,晴,全面良芝,"1,274人",3.3℃,38.2%,47.0%,57.7%,59.8%,76.1%,64.6%,18.80,16.06,2.53,0.20,4.39,0.00,107.09,8.94,0.00,0.667,7,(0.0%),3,0,670,(78.5%),13,(38.5%),6,1,2,30,(73.3%),5,(20.0%),17,(64.7%),6,0,2,1,0,44,13,126,5.6%,57.8%
第42節,ヴァンフォーレ甲府,ファジアーノ岡山,0,2,0,3,2020.12.20 14:00 Kick Off,晴,全面良芝,"4,008人",9.6℃,39.9%,66.3%,52.0%,36.0%,34.9%,35.7%,11.34,10.16,0.56,0.61,8.15,7.43,98.51,17.42,0.45,0.659,11,(18.2%),5,0,341,(71.8%),13,(7.7%),15,1,5,17,(52.9%),7,(42.9%),14,(71.4%),28,1,4,0,0,24,9,119,9.2%,43.1%
第1節,栃木ＳＣ,ファジアーノ岡山,0,2,0,3,2021.2.28 14:00 Kick Off,晴,全面良芝,"4,616人",9.3℃,42.8%,58.0%,47.9%,53.1%,48.7%,49.0%,9.03,6.55,1.64,0.83,7.94,3.53,91.13,24.90,0.59,1.793,8,(25.0%),5,1,329,(50.2%),12,(25.0%),16,1,2,29,(69.0%),14,(28.6%),24,(50.0%),56,1,2,0,0,20,12,146,5.5%,49.2%
第2節,ファジアーノ岡山,ツエーゲン金沢,0,1,1,0,2021.3.7 14:00 Kick Off,曇,全面良芝,"5,788人",14.3℃,60.8%,38.4%,53.5%,48.1%,59.0%,55.3%,20.46,16.29,2.75,1.43,12.14,0.00,98.35,19.09,0.00,2.49,21,(0.0%),7,0,520,(69.8%),16,(31.3%),9,0,7,27,(70.4%),16,(43.8%),28,(75.0%),24,0,1,0,0,49,15,149,14.1%,53%
第3節,ファジアーノ岡山,ＳＣ相模原,0,0,1,1,2021.3.14 14:00 Kick Off,曇,全面良芝,"6,091人",16.7℃,58.5%,61.3%,60.6%,60.2%,62.4%,57.0%,19.50,16.69,1.64,1.18,13.29,0.00,90.39,10.02,0.39,2.079,21,(0.0%),6,0,518,(80.9%),19,(15.8%),10,2,8,29,(75.9%),16,(31.3%),20,(75.0%),20,1,2,1,0,51,14,128,16.4%,60%
