Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第39節,レノファ山口ＦＣ,ＦＣ琉球,1,2,0,3,2019.11.3 16:00 Kick Off,曇,全面良芝,"6,099人",18℃,60.1%,47.4%,46.3%,43.1%,44.6%,45.5%,12.94,10.58,0.64,1.73,9.02,7.43,75.26,20.70,0.18,1.899,16,(12.5%),7,0,433,(75.8%),11,(9.1%),9,4,7,20,(85.0%),6,(50.0%),14,(78.6%),24,3,2,2,0,30,9,133,12.0%,47.8%
第40節,ＦＣ琉球,京都サンガF.C.,0,3,1,0,2019.11.10 16:00 Kick Off,晴,良芝,"7,523人",24.4℃,59.1%,55.5%,70.9%,48.5%,39.1%,56.7%,16.83,15.89,0.00,0.94,7.03,0.00,48.81,11.81,0.29,0.905,12,(0.0%),3,0,536,(86.0%),11,(0.0%),7,3,6,19,(84.2%),6,(83.3%),15,(26.7%),19,2,3,1,0,40,12,90,13.3%,56%
第41節,愛媛ＦＣ,ＦＣ琉球,1,2,0,3,2019.11.16 14:00 Kick Off,晴,全面良芝,"4,229人",20.6℃,60.1%,48.2%,66.5%,52.3%,54.3%,57.4%,20.41,16.14,2.17,2.11,8.14,7.13,78.49,9.09,0.34,1.018,15,(13.3%),4,0,584,(81.3%),14,(28.6%),10,7,7,25,(92.0%),11,(72.7%),15,(46.7%),11,2,0,0,0,50,14,129,11.6%,56.5%
第42節,ヴァンフォーレ甲府,ＦＣ琉球,2,0,0,0,2019.11.24 14:00 Kick Off,晴,全面良芝,"11,352人",23℃,73.9%,77.7%,75.4%,50.1%,69.5%,70.3%,24.71,21.80,2.23,0.68,0.00,0.00,47.51,14.02,0.10,0.238,4,(0.0%),0,0,835,(88.6%),19,(21.1%),8,3,7,12,(83.3%),7,(57.1%),9,(77.8%),9,1,0,1,0,76,11,84,4.8%,69.5%
第1節,ジェフユナイテッド千葉,ＦＣ琉球,1,0,0,0,2020.2.23 14:00 Kick Off,晴,全面良芝,"9,701人",15.3℃,68.5%,62.1%,69.4%,61.5%,74.9%,69.3%,33.85,28.70,3.69,1.46,12.37,0.00,76.07,10.19,0.20,1.673,20,(0.0%),4,0,825,(84.8%),34,(20.6%),10,2,10,26,(96.2%),11,(45.5%),8,(75.0%),15,1,0,1,0,94,19,124,16.1%,68%
第2節,ＦＣ琉球,アビスパ福岡,1,1,1,1,2020.6.28 18:30 Kick Off,晴,全面良芝,0人,30.1℃,70.0%,32.0%,47.9%,47.9%,59.0%,53.8%,11.91,10.57,0.95,0.39,6.08,5.04,66.44,14.12,0.32,1.056,10,(10.0%),4,0,444,(79.7%),9,(22.2%),10,4,8,18,(88.9%),4,(25.0%),16,(62.5%),24,1,0,0,0,37,9,110,9.1%,53.5%
第3節,ギラヴァンツ北九州,ＦＣ琉球,4,0,0,0,2020.7.4 19:00 Kick Off,曇,全面良芝,0人,23.8℃,45.4%,53.2%,47.1%,35.3%,54.8%,46.7%,16.31,13.41,1.54,1.36,6.38,0.00,77.47,17.28,0.44,0.84,12,(0.0%),3,0,490,(77.1%),17,(17.6%),9,1,4,29,(93.1%),18,(38.9%),22,(27.3%),30,0,1,0,0,36,11,132,9.1%,47.1%
第4節,ＦＣ琉球,徳島ヴォルティス,1,3,1,0,2020.7.11 18:30 Kick Off,晴,全面良芝,"1,355人",30.7℃,48.4%,45.4%,44.1%,47.2%,39.9%,50.4%,21.02,18.06,1.52,1.44,8.59,2.93,62.71,10.02,0.39,1.897,20,(5.0%),5,0,534,(86.7%),15,(20.0%),9,0,9,13,(100.0%),7,(57.1%),15,(80.0%),18,4,0,1,0,55,17,91,22.0%,46.4%
第5節,ＦＣ琉球,Ｖ・ファーレン長崎,1,1,1,1,2020.7.15 19:00 Kick Off,曇のち雨,全面良芝,671人,30.3℃,51.6%,43.6%,49.4%,66.8%,57.9%,48.5%,25.50,20.63,2.25,2.62,11.69,2.93,71.61,10.16,0.02,1.837,15,(6.7%),4,0,674,(90.7%),17,(23.5%),5,1,5,14,(100.0%),18,(55.6%),16,(75.0%),13,6,3,1,0,52,20,91,16.5%,52.6%
第6節,レノファ山口ＦＣ,ＦＣ琉球,4,1,0,0,2020.7.18 19:00 Kick Off,曇,全面良芝,"1,631人",25.2℃,57.3%,48.7%,67.0%,52.4%,63.8%,67.2%,27.63,25.11,0.50,2.02,10.15,5.25,60.71,10.57,0.04,2.008,18,(5.6%),5,0,696,(85.8%),16,(6.3%),16,2,3,20,(100.0%),10,(70.0%),14,(35.7%),17,2,1,3,0,67,16,101,17.8%,59.1%
