Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第37節,ツエーゲン金沢,モンテディオ山形,1,0,0,0,2019.10.20 14:00 Kick Off,晴,全面良芝,"5,658人",21.8℃,39.0%,48.3%,52.0%,63.4%,61.6%,47.9%,12.09,10.49,0.49,1.11,4.00,0.00,66.70,12.79,0.12,1.124,10,(0.0%),3,0,434,(71.9%),13,(7.7%),12,1,7,36,(88.9%),15,(40.0%),26,(65.4%),12,1,0,2,0,33,9,132,7.6%,52%
第38節,モンテディオ山形,愛媛ＦＣ,3,0,1,3,2019.10.27 13:00 Kick Off,曇,全面良芝,"7,404人",18℃,50.8%,47.4%,36.4%,23.9%,43.8%,26.4%,9.45,8.34,0.42,0.69,8.73,14.24,80.21,13.83,0.27,1.172,10,(30.0%),4,0,282,(70.6%),11,(9.1%),15,1,7,29,(69.0%),15,(26.7%),24,(75.0%),18,0,1,2,0,26,4,126,7.9%,35.8%
第39節,水戸ホーリーホック,モンテディオ山形,3,1,0,0,2019.11.2 15:00 Kick Off,晴,全面良芝,"6,874人",16.7℃,49.9%,54.0%,46.9%,53.2%,51.9%,61.9%,15.83,12.10,2.07,1.66,5.97,0.31,89.02,9.44,0.04,2.016,14,(7.1%),4,1,434,(72.4%),26,(15.4%),8,1,8,33,(78.8%),10,(50.0%),28,(82.1%),23,1,1,0,0,44,8,128,10.9%,53.6%
第40節,モンテディオ山形,Ｖ・ファーレン長崎,1,3,1,0,2019.11.10 14:00 Kick Off,晴,全面良芝,"8,911人",12.1℃,55.2%,49.9%,27.6%,44.1%,28.8%,48.3%,14.01,8.54,3.25,2.22,4.78,2.90,77.24,15.39,0.78,0.703,7,(14.3%),4,0,344,(68.0%),23,(26.1%),13,0,4,22,(68.2%),17,(52.9%),26,(73.1%),21,2,1,1,1,36,13,131,5.3%,41.7%
第41節,レノファ山口ＦＣ,モンテディオ山形,2,3,0,3,2019.11.16 13:00 Kick Off,晴,全面良芝,"6,117人",19.9℃,37.1%,59.6%,50.6%,47.4%,60.0%,50.8%,16.25,13.15,1.63,1.47,14.67,9.85,75.95,13.21,0.28,2.143,20,(15.0%),8,0,435,(72.9%),17,(17.6%),13,1,6,27,(88.9%),10,(70.0%),17,(52.9%),17,3,2,0,0,44,13,128,15.6%,51.2%
第42節,モンテディオ山形,ＦＣ町田ゼルビア,1,2,1,0,2019.11.24 14:00 Kick Off,晴,全面良芝,"11,601人",15.8℃,48.9%,46.2%,57.3%,62.5%,43.7%,54.4%,9.79,7.91,1.13,0.74,6.19,1.23,75.93,16.83,0.35,1.111,8,(12.5%),2,0,324,(59.9%),10,(20.0%),13,4,6,35,(80.0%),13,(46.2%),31,(45.2%),25,0,0,1,0,17,6,143,5.6%,52.2%
第1節,ジュビロ磐田,モンテディオ山形,2,0,0,0,2020.2.23 14:00 Kick Off,晴,全面良芝,"14,526人",14.5℃,45.5%,35.3%,45.3%,48.4%,54.9%,64.2%,17.52,14.59,1.54,1.39,4.87,0.00,119.60,17.87,0.15,1.045,9,(0.0%),2,0,613,(77.3%),17,(17.6%),10,1,7,22,(95.5%),7,(57.1%),25,(72.0%),19,4,2,1,0,41,8,135,6.7%,49.1%
第2節,モンテディオ山形,栃木ＳＣ,1,0,1,3,2020.6.27 19:00 Kick Off,晴,全面良芝,0人,25.1℃,59.1%,77.8%,64.5%,69.7%,53.2%,48.6%,14.13,12.17,1.53,0.43,5.62,4.25,72.58,15.87,0.51,0.374,8,(12.5%),3,0,569,(76.3%),17,(17.6%),16,2,3,21,(100.0%),9,(33.3%),14,(64.3%),34,0,0,1,0,40,6,112,7.1%,62%
第3節,ＦＣ町田ゼルビア,モンテディオ山形,0,0,0,1,2020.7.4 19:00 Kick Off,曇のち雨,全面良芝,0人,25.7℃,62.9%,56.9%,45.9%,56.4%,43.2%,46.3%,14.11,11.85,1.06,1.20,5.01,0.00,86.94,10.58,0.13,0.953,8,(0.0%),2,0,470,(74.7%),17,(11.8%),10,3,4,31,(93.5%),13,(69.2%),16,(75.0%),21,2,2,0,0,35,9,129,6.2%,51.1%
第4節,モンテディオ山形,水戸ホーリーホック,1,1,1,1,2020.7.11 19:00 Kick Off,曇,全面良芝,"2,304人",25℃,59.6%,43.5%,48.7%,62.4%,38.8%,45.1%,16.00,13.15,1.54,1.31,3.49,5.25,71.96,19.46,0.31,0.743,10,(10.0%),2,0,525,(79.2%),27,(11.1%),10,0,4,23,(100.0%),7,(57.1%),17,(70.6%),35,1,1,0,0,47,13,107,9.3%,49.4%
