1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
16.1%,9.1%,9.1%,22.0%,16.5%,17.8%,9.9%,11.5%,14.3%,11.4%,7.5%,8.9%,9.8%,5.7%,17.4%,8.8%,11.5%,14.2%,6.6%,19.6%,15.6%,7.9%,7.8%,10.3%,12.5%,6.1%,9.3%,8.1%,6.7%,11.2%,11.3%,11.3%,9.3%,12.4%,8.9%,7.1%,12.6%,10.6%,11.0%,25.2%,11.7%,6.9%
20,10,12,20,15,18,12,12,17,12,7,10,10,6,19,9,13,15,6,20,19,8,8,9,15,7,12,11,8,11,13,13,12,13,10,8,13,14,12,30,14,9
0.0%,10.0%,0.0%,5.0%,6.7%,5.6%,8.3%,16.7%,11.8%,8.3%,14.3%,10.0%,20.0%,0.0%,5.3%,11.1%,7.7%,33.3%,0.0%,15.0%,31.6%,0.0%,0.0%,11.1%,0.0%,0.0%,8.3%,9.1%,25.0%,27.3%,0.0%,7.7%,8.3%,7.7%,10.0%,0.0%,30.8%,0.0%,8.3%,20.0%,14.3%,0.0%
68.0%,53.5%,47.1%,46.4%,52.6%,59.1%,52.9%,33.4%,64.6%,47.9%,58.0%,49.1%,72.4%,54.8%,58.8%,57.3%,54.4%,46.6%,52.2%,47.8%,57.7%,61.7%,51.5%,36.0%,54.6%,66.3%,54.5%,62.9%,49.9%,38.4%,53.0%,52.0%,62.6%,49.3%,46.8%,53.0%,35.5%,63.6%,55.2%,52.7%,47.1%,64.4%
33.85,11.91,16.31,21.02,25.50,27.63,17.50,10.94,25.23,17.25,20.62,16.17,24.59,14.83,24.47,21.34,25.51,14.80,17.05,18.66,18.16,24.29,20.93,14.90,18.55,17.93,19.00,17.43,15.66,9.83,21.93,17.62,21.08,16.62,15.24,20.15,14.45,25.58,17.94,30.42,18.72,23.42
28.70,10.57,13.41,18.06,20.63,25.11,15.55,9.64,20.85,15.76,18.65,14.90,21.52,12.43,20.56,19.87,22.86,12.25,16.32,16.03,17.39,19.35,16.95,12.24,14.37,16.28,15.57,14.07,15.33,8.19,19.72,15.42,17.21,15.72,12.97,18.09,12.06,22.05,15.20,24.60,15.99,20.10
76.07,66.44,77.47,62.71,71.61,60.71,60.30,58.32,80.55,72.41,60.81,82.28,45.22,81.19,78.10,72.13,76.36,62.35,52.06,88.78,93.69,53.02,89.11,55.18,75.12,68.06,123.07,88.27,73.55,65.63,98.45,85.87,90.30,77.47,65.37,98.55,73.20,117.59,81.43,101.35,104.89,101.72
10.19,14.12,17.28,10.02,10.16,10.57,12.01,15.96,10.65,12.26,9.90,19.54,9.33,11.54,8.48,15.37,11.00,14.03,16.62,11.51,15.69,8.61,10.77,12.03,13.66,11.17,13.57,18.08,13.53,21.54,9.75,11.69,19.03,13.47,14.39,14.68,15.60,13.64,10.64,12.72,21.66,10.94
,阿部,,阿部,池田,茂木,風間矢,"池田,上原慎","上里,阿部",阿部,阿部,阿部,上原慎x2,,風間矢,阿部,"阿部,OG","河合,知念,風間矢,阿部,小泉",,"小泉,上原慎x2","阿部,風間矢x2,小泉,上原慎,田中",,,風間矢,,,"上里,OG",沼田,"風間矢,阿部","阿部x2,上原牧",,風間希,田中,河合,風間希,,"小泉x2,沼田,河合",,人見,"小泉,風間矢x3,沼田,池田","河合,池田",
樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋
