Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
42,ベガルタ仙台,横浜Ｆ・マリノス,0,1,1,0,2020.8.1 18:00 Kick Off,晴,全面良芝,"2,758人",24.1℃,26.1%,35.3%,31.3%,25.6%,40.9%,33.8%,7.74,5.57,1.93,0.24,9.43,0.00,102.71,25.31,0.69,0.731,9,(0.0%),6,0,263,(63.5%),13,(30.8%),7,0,5,21,(81.0%),7,(28.6%),20,(55.0%),34,2,2,0,0,24,8,124,7.3%,31.7%,48,41
43,ヴィッセル神戸,ベガルタ仙台,1,2,0,3,2020.8.8 19:00 Kick Off,晴,全面良芝,"4,333人",26.7℃,39.7%,51.9%,35.2%,31.6%,35.3%,28.5%,11.18,7.56,2.23,1.39,3.62,2.92,50.89,18.19,0.65,0.606,10,(10.0%),3,0,359,(81.9%),12,(33.3%),8,3,3,16,(81.3%),9,(44.4%),18,(66.7%),33,2,1,1,0,25,7,94,10.6%,36.9%,39,38
44,ベガルタ仙台,清水エスパルス,0,0,1,1,2020.8.15 18:00 Kick Off,晴,全面良芝,"2,718人",30.6℃,40.8%,34.8%,48.8%,51.6%,46.6%,47.0%,17.15,11.84,3.20,2.11,8.74,0.00,101.90,19.05,0.47,0.968,13,(0.0%),5,0,461,(82.0%),20,(30.0%),9,0,3,17,(88.2%),13,(53.8%),27,(66.7%),33,3,4,2,0,43,17,113,11.5%,44.7%,57,46
45,セレッソ大阪,ベガルタ仙台,2,1,0,0,2020.8.23 19:00 Kick Off,曇,全面良芝,"3,921人",30.6℃,50.0%,44.6%,50.2%,46.8%,51.8%,54.9%,12.09,10.88,0.56,0.65,2.63,2.63,93.01,10.82,0.20,0.411,8,(12.5%),2,0,516,(81.6%),16,(6.3%),7,3,5,19,(100.0%),10,(50.0%),14,(57.1%),17,5,1,0,0,43,8,106,7.5%,49.7%,50,50
46,サンフレッチェ広島,ベガルタ仙台,1,1,0,1,2020.8.29 19:00 Kick Off,晴,全面良芝,"3,124人",28.7℃,41.4%,54.5%,49.0%,49.3%,53.8%,42.3%,13.50,11.49,1.58,0.42,9.75,3.08,85.42,16.40,0.66,1.285,14,(7.1%),6,0,483,(80.7%),15,(20.0%),8,0,7,24,(91.7%),6,(33.3%),14,(64.3%),25,2,2,2,0,45,11,116,12.1%,48.3%,55,36
47,ベガルタ仙台,ガンバ大阪,1,4,1,0,2020.9.5 18:30 Kick Off,曇,全面良芝,"2,871人",26℃,47.9%,54.4%,59.6%,66.0%,63.4%,56.8%,16.26,10.28,5.17,0.81,10.30,2.57,74.80,11.80,0.06,2.525,18,(5.6%),6,1,532,(76.5%),28,(35.7%),6,2,8,31,(90.3%),10,(40.0%),9,(77.8%),13,0,2,2,0,37,15,126,14.3%,58%,56,55
48,鹿島アントラーズ,ベガルタ仙台,2,1,0,0,2020.9.9 19:00 Kick Off,曇,全面良芝,"3,839人",26.7℃,51.7%,36.9%,31.2%,39.5%,50.7%,50.6%,9.99,7.25,2.16,0.59,4.99,2.66,74.20,13.49,0.31,1.402,12,(8.3%),2,0,353,(79.9%),12,(33.3%),10,3,7,21,(81.0%),11,(27.3%),18,(72.2%),18,0,4,2,0,30,8,110,10.9%,43.4%,45,37
49,ベガルタ仙台,大分トリニータ,0,3,1,0,2020.9.13 18:00 Kick Off,曇のち雨,全面良芝,"2,191人",20.8℃,32.8%,30.4%,25.9%,68.7%,61.1%,55.4%,10.44,8.34,1.59,0.50,6.76,0.00,62.07,13.21,1.15,1.228,14,(0.0%),3,0,414,(75.1%),20,(15.0%),9,1,4,30,(90.0%),7,(42.9%),9,(77.8%),19,0,1,1,0,24,6,109,12.8%,44.6%,44,50
50,ＦＣ東京,ベガルタ仙台,1,0,0,0,2020.9.20 19:00 Kick Off,曇,全面良芝,"4,981人",23.4℃,42.4%,47.9%,56.6%,53.5%,70.0%,65.5%,13.62,12.60,0.42,0.60,8.17,0.00,69.98,10.92,0.12,0.943,12,(0.0%),4,0,549,(78.9%),14,(7.1%),12,1,4,26,(92.3%),11,(27.3%),14,(42.9%),17,1,0,1,0,40,11,119,10.1%,55.9%,47,52
51,横浜Ｆ・マリノス,ベガルタ仙台,3,1,0,0,2020.9.23 19:30 Kick Off,雨,全面良芝,"3,702人",20.1℃,36.8%,34.5%,25.8%,44.3%,26.2%,30.7%,8.88,7.32,0.00,1.56,4.43,5.08,129.68,24.72,0.68,0.34,9,(11.1%),4,0,322,(67.1%),17,(0.0%),11,1,5,18,(77.8%),13,(30.8%),29,(51.7%),22,8,4,1,0,25,6,137,6.6%,32.8%,39,36
52,ベガルタ仙台,セレッソ大阪,2,3,1,0,2020.9.27 13:00 Kick Off,曇一時雨,全面良芝,"2,789人",19℃,40.4%,39.6%,47.1%,49.0%,33.8%,34.5%,9.22,7.05,1.53,0.64,6.18,3.29,79.69,13.57,0.23,1.619,9,(22.2%),5,1,335,(72.8%),17,(17.6%),4,3,5,25,(88.0%),13,(30.8%),11,(45.5%),22,0,0,0,0,30,7,109,8.3%,41.2%,47,52
53,北海道コンサドーレ札幌,ベガルタ仙台,3,3,0,1,2020.10.3 14:00 Kick Off,屋内,全面良芝,"5,339人",23.1℃,41.6%,35.3%,44.9%,42.7%,30.2%,25.5%,8.94,6.30,2.00,0.65,10.00,6.77,68.97,17.41,0.64,1.805,13,(23.1%),7,0,296,(69.9%),14,(28.6%),7,2,5,29,(86.2%),9,(66.7%),13,(61.5%),23,1,3,1,0,22,6,107,12.1%,36.1%,49,40
54,川崎フロンターレ,ベガルタ仙台,1,0,0,0,2020.10.10 18:00 Kick Off,雨,全面良芝,"8,263人",17.9℃,27.1%,35.4%,28.8%,48.3%,46.8%,55.3%,10.02,7.13,2.07,0.82,2.66,0.00,81.52,20.56,1.16,0.959,8,(0.0%),1,0,403,(78.7%),17,(23.5%),8,1,3,18,(83.3%),15,(40.0%),16,(68.8%),34,3,1,0,0,24,5,109,7.3%,40%,35,29
55,ベガルタ仙台,横浜ＦＣ,0,0,1,1,2020.10.14 19:00 Kick Off,晴,全面良芝,"3,714人",18.5℃,35.2%,30.1%,22.9%,37.8%,33.3%,39.4%,7.19,5.94,1.06,0.20,1.05,0.00,74.54,21.94,0.21,0.858,5,(0.0%),0,0,301,(67.4%),22,(9.1%),9,1,6,22,(77.3%),9,(22.2%),17,(23.5%),25,3,2,2,0,22,7,110,4.5%,32.4%,50,43
56,浦和レッズ,ベガルタ仙台,6,0,0,0,2020.10.18 16:00 Kick Off,曇のち晴,全面良芝,"9,831人",21.1℃,56.0%,59.4%,66.6%,62.4%,49.2%,60.1%,20.46,15.44,2.45,2.57,4.63,0.00,103.35,14.95,1.18,1.478,18,(0.0%),2,0,604,(84.6%),21,(23.8%),8,1,6,17,(88.2%),17,(52.9%),19,(63.2%),15,2,1,1,0,56,17,118,15.3%,59.4%,56,40
57,名古屋グランパス,ベガルタ仙台,1,0,0,0,2020.10.24 14:00 Kick Off,晴,全面良芝,"9,367人",18.8℃,36.7%,30.8%,39.7%,37.6%,51.6%,41.4%,8.03,6.21,1.08,0.74,0.00,0.00,94.07,17.09,0.46,0.108,1,(0.0%),0,0,359,(70.2%),11,(18.2%),6,1,1,28,(89.3%),8,(50.0%),15,(53.3%),25,2,2,0,0,27,2,115,0.9%,38.8%,5,48
58,ベガルタ仙台,ヴィッセル神戸,2,3,1,0,2020.10.28 19:00 Kick Off,晴,全面良芝,"4,071人",13.3℃,39.2%,43.8%,30.8%,28.8%,36.2%,56.4%,10.12,8.63,1.02,0.48,3.90,5.20,117.79,17.77,1.39,1.335,8,(25.0%),3,0,379,(68.6%),20,(10.0%),2,4,4,17,(88.2%),7,(28.6%),18,(66.7%),24,3,1,0,0,25,11,118,6.8%,39.1%,49,42
