Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
129,ベガルタ仙台,モンテディオ山形,1,1,1,1,2022.6.25 16:00 Kick Off,晴,全面良芝,"15,372人",31.1℃,42.7%,51.3%,44.8%,59.5%,65.1%,61.1%,18.44,14.22,2.68,1.54,9.47,1.26,77.83,14.26,0.44,2.777,16,(6.3%),6,0,515,(81.7%),24,(20.8%),11,3,5,20,(85.0%),10,(50.0%),18,(66.7%),18,3,2,2,0,41,17,109,14.7%,53.7%,58,52
130,ＦＣ町田ゼルビア,ベガルタ仙台,2,3,0,3,2022.7.2 18:00 Kick Off,曇,全面良芝,"3,281人",30℃,43.4%,35.5%,37.3%,34.6%,42.8%,42.7%,10.40,8.69,0.53,1.18,9.57,5.17,52.17,14.22,0.15,1.534,14,(21.4%),5,0,262,(75.6%),4,(25.0%),16,3,3,24,(83.3%),10,(60.0%),16,(62.5%),31,1,0,2,0,18,5,105,13.3%,39.6%,47,48
131,ベガルタ仙台,ヴァンフォーレ甲府,3,0,1,3,2022.7.6 19:00 Kick Off,曇,全面良芝,"5,488人",24℃,66.6%,49.9%,48.8%,37.9%,35.2%,41.7%,14.80,11.47,1.65,1.68,7.64,10.31,93.91,12.28,0.00,1.103,13,(23.1%),5,0,428,(81.3%),10,(30.0%),15,1,2,17,(100.0%),6,(50.0%),10,(40.0%),16,3,0,1,0,34,12,104,12.5%,47.3%,52,53
132,ＦＣ琉球,ベガルタ仙台,1,1,0,1,2022.7.10 19:00 Kick Off,晴,全面良芝,"2,012人",30.8℃,58.3%,53.8%,44.1%,57.1%,75.6%,65.3%,18.12,14.96,2.70,0.45,8.26,2.63,65.33,13.79,0.72,2.544,16,(6.3%),5,1,583,(82.8%),8,(62.5%),12,0,3,23,(69.6%),15,(20.0%),17,(88.2%),16,1,4,1,0,38,12,118,13.6%,59.4%,49,44
133,いわてグルージャ盛岡,ベガルタ仙台,1,5,0,3,2022.7.16 18:00 Kick Off,曇,全面良芝,"3,029人",22.8℃,50.4%,54.6%,48.8%,56.8%,50.9%,56.7%,13.31,11.64,1.12,0.55,6.73,18.29,80.00,12.71,0.10,2.054,15,(33.3%),6,1,377,(75.1%),14,(14.3%),15,3,9,34,(61.8%),10,(30.0%),20,(75.0%),19,0,2,0,0,39,12,131,11.5%,52.9%,59,44
134,ベガルタ仙台,Ｖ・ファーレン長崎,1,2,1,0,2022.7.23 19:00 Kick Off,晴,全面良芝,"11,338人",24.8℃,51.2%,45.0%,57.7%,55.2%,63.5%,66.6%,21.72,16.34,3.52,1.86,8.93,0.31,67.71,9.30,0.00,2.091,18,(5.6%),6,1,569,(81.4%),25,(32.0%),15,2,5,24,(91.7%),15,(40.0%),14,(78.6%),12,0,2,1,0,50,15,117,15.4%,56.2%,65,57
135,レノファ山口ＦＣ,ベガルタ仙台,2,2,0,1,2022.7.30 19:00 Kick Off,曇一時雨,全面良芝,"3,588人",28.6℃,43.8%,80.8%,56.2%,38.5%,30.2%,33.6%,11.25,8.41,2.16,0.69,5.74,4.46,66.90,12.70,0.92,1.931,13,(15.4%),5,0,422,(79.1%),11,(36.4%),12,1,6,28,(71.4%),8,(50.0%),11,(63.6%),27,2,1,1,0,27,8,120,10.8%,47%,42,61
136,ツエーゲン金沢,ベガルタ仙台,1,4,0,3,2022.8.6 19:00 Kick Off,晴,全面良芝,"3,215人",30.6℃,48.4%,40.5%,44.8%,41.6%,68.4%,59.3%,14.69,11.19,1.23,2.26,9.83,8.02,84.57,15.37,0.01,3.745,18,(22.2%),7,2,416,(79.3%),16,(12.5%),6,0,6,21,(66.7%),15,(66.7%),23,(69.6%),27,3,2,1,0,32,17,117,15.4%,49.8%,50,54
137,ベガルタ仙台,大宮アルディージャ,2,3,1,0,2022.8.13 19:00 Kick Off,曇,全面良芝,"12,920人",26.9℃,57.8%,66.3%,52.0%,62.4%,57.2%,72.0%,22.42,17.54,3.92,0.97,10.68,7.93,71.98,8.34,0.28,1.886,19,(10.5%),7,0,609,(81.8%),32,(21.9%),7,1,11,31,(87.1%),12,(50.0%),13,(61.5%),18,0,0,0,0,59,16,126,15.1%,61.9%,61,53
138,ザスパクサツ群馬,ベガルタ仙台,1,0,0,0,2022.8.20 19:00 Kick Off,雨,全面良芝,"4,142人",25.9℃,68.7%,70.0%,52.2%,46.7%,62.9%,66.1%,17.98,15.20,1.59,1.19,4.52,0.00,46.89,9.02,3.08,0.815,11,(0.0%),0,0,609,(84.4%),12,(25.0%),10,0,3,20,(80.0%),14,(42.9%),14,(57.1%),11,3,4,1,0,38,9,100,11.0%,62%,44,37
139,ベガルタ仙台,ジェフユナイテッド千葉,0,2,1,0,2022.8.27 19:00 Kick Off,曇一時雨,全面良芝,"9,310人",24.6℃,33.7%,40.5%,41.1%,38.6%,53.6%,57.9%,8.75,7.31,0.53,0.91,7.50,0.00,78.71,12.20,0.00,0.582,12,(0.0%),4,0,311,(65.3%),13,(7.7%),18,2,6,20,(55.0%),12,(41.7%),24,(58.3%),19,1,3,1,0,26,2,113,10.6%,46.4%,53,45
140,ベガルタ仙台,水戸ホーリーホック,1,2,1,0,2022.9.3 19:00 Kick Off,曇のち雨,全面良芝,"7,139人",23.2℃,49.8%,64.7%,56.3%,58.9%,55.6%,67.7%,18.12,15.13,2.67,0.32,6.25,0.31,54.94,10.53,0.00,2.785,15,(6.7%),5,1,524,(81.7%),18,(27.8%),13,0,5,24,(79.2%),8,(37.5%),16,(81.3%),25,0,0,3,0,47,9,105,14.3%,59.4%,57,51
141,大分トリニータ,ベガルタ仙台,1,0,0,0,2022.9.10 19:00 Kick Off,晴,全面良芝,"7,705人",25.4℃,26.0%,26.7%,19.5%,42.7%,41.1%,63.6%,8.79,7.99,0.58,0.22,0.00,0.00,67.04,13.94,1.49,0.342,4,(0.0%),0,0,381,(80.8%),9,(11.1%),3,0,3,16,(75.0%),4,(25.0%),15,(66.7%),24,0,1,0,0,22,6,92,4.3%,36.8%,36,47
142,栃木ＳＣ,ベガルタ仙台,0,1,0,3,2022.9.14 19:00 Kick Off,晴,全面良芝,"3,514人",23℃,64.8%,46.6%,45.8%,44.8%,47.8%,37.7%,12.90,12.12,0.48,0.30,3.74,2.66,83.61,10.13,0.57,0.313,6,(16.7%),2,0,441,(76.9%),11,(9.1%),17,2,2,23,(95.7%),4,(25.0%),9,(77.8%),17,0,1,2,0,32,10,115,5.2%,47.3%,52,53
143,ベガルタ仙台,徳島ヴォルティス,1,1,1,1,2022.9.18 13:00 Kick Off,晴のち曇,全面良芝,"7,727人",27.9℃,49.6%,39.1%,37.6%,27.5%,26.5%,29.9%,13.05,11.05,1.09,0.91,6.47,2.63,60.36,11.88,0.11,1.568,11,(9.1%),2,0,348,(80.5%),15,(13.3%),12,6,2,12,(83.3%),7,(42.9%),13,(84.6%),20,1,0,3,1,27,11,95,11.6%,35%,49,56
144,ファジアーノ岡山,ベガルタ仙台,3,0,0,0,2022.9.25 13:00 Kick Off,晴,全面良芝,"11,661人",26.7℃,39.9%,44.4%,45.9%,56.6%,59.0%,63.4%,12.75,10.59,1.62,0.53,5.83,0.00,62.47,11.95,0.52,1.232,11,(0.0%),5,0,448,(76.8%),13,(23.1%),13,2,1,26,(80.8%),8,(50.0%),16,(62.5%),23,4,0,2,0,29,8,117,9.4%,51.2%,43,63
145,ベガルタ仙台,東京ヴェルディ,0,2,1,0,2022.10.2 14:00 Kick Off,晴,全面良芝,"11,187人",24.4℃,40.3%,38.4%,31.9%,52.1%,56.0%,52.6%,13.22,12.12,1.10,0.00,6.97,0.00,114.92,13.91,0.30,1.035,11,(0.0%),4,0,425,(74.6%),11,(18.2%),17,0,3,22,(81.8%),6,(0.0%),11,(54.5%),26,4,6,1,0,30,9,125,8.8%,44.7%,55,44
146,アルビレックス新潟,ベガルタ仙台,3,0,0,0,2022.10.8 14:00 Kick Off,晴,全面良芝,"32,979人",19.9℃,36.0%,34.8%,20.0%,21.5%,30.5%,47.6%,10.75,10.75,0.00,0.00,2.21,0.00,73.47,13.48,0.30,0.366,7,(0.0%),1,0,421,(81.2%),7,(0.0%),10,2,0,10,(80.0%),3,(0.0%),14,(35.7%),20,2,0,1,0,23,6,91,7.7%,32.6%,39,53
147,ベガルタ仙台,ロアッソ熊本,2,1,1,3,2022.10.16 16:00 Kick Off,晴,全面良芝,"11,715人",19.3℃,49.2%,40.3%,40.0%,38.9%,24.8%,50.3%,14.10,11.02,1.52,1.57,4.20,4.60,98.12,13.48,0.15,1.592,13,(15.4%),3,0,370,(68.6%),13,(23.1%),8,0,6,36,(77.8%),11,(54.5%),15,(53.3%),22,0,0,2,0,28,11,127,10.2%,41.3%,64,60
